
61 (False) KG모빌리언스(종가:9870) 265181708231 - 124603619949 > 383208356160 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
62 (False) KG이니시스(종가:19400) 189144867469 - 364500913535 > 541346019600 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
63 (False) KG케미칼(종가:22600) 72592808103 - 142595862542 > 294099043200 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
64 (False) KH바텍(종가:18650) 102211125381 - 43556615444 > 441518290950 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
65 (False) KISCO홀딩스(종가:14350) 104260912423 - 660501717 > 265136053000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
66 (False) KMH(종가:15500) 22575635406 - 85001018431 > 351353721000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
67 (False) KMH하이텍(종가:1535) 47366495389 - 37279377456 > 71969240965 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
68 (False) KNN(종가:2200) 47212337881 - 11928528269 > 291345384000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
69 (False) KPX생명과학(종가:10400) 27398978217 - 9937839696 > 156000000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
70 (False) KPX케미칼(종가:54400) 278989285143 - 82770478846 > 263296000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
71 (False) KPX홀딩스(종가:56500) 86545241870 - 13413159360 > 238692499000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
72 (False) KR모터스(종가:1030) 6576574356 - 76251346800 > 94410848540 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
73 (False) KSS해운(종가:10650) 58631843961 - 714745045470 > 246929622000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
74 (False) KTH(종가:7900) 138815786211 - 79977718086 > 282148673800 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
